availability_365,City,host_id,host_name,id,last_review,latitude,longitude,minimum_nights,name,neighbourhood_cleansed,number_of_reviews,price,room_type
243,Chicago,20624213,Karen,3979320,2025-02-10,41.95652,-87.64982,3,2 Room Apartment in Vintage Bldg,Uptown,33,103.00,Entire home/apt
222,Chicago,20624213,Karen,3979385,2025-01-02,41.95669,-87.64847,3,Private 3rd Floor Apartment,Uptown,362,162.00,Entire home/apt
89,Chicago,21178487,Fatimah,4083903,2020-03-01,41.80392,-87.6108,32,"Beautiful, Spacious Historic Greystone Unit.",Grand Boulevard,3,171.00,Entire home/apt
89,Chicago,2880338,Elizabeth,4096995,2024-12-21,41.96264,-87.67296,32,Spacious Private Room w/ king bed,Uptown,36,46.00,Private room
38,Chicago,18649856,Rachel,4105283,2024-08-04,41.99701,-87.66099,75,Short-Term Sublet Near Lake Michigan,Edgewater,212,,Entire home/apt
124,Chicago,2441500,Lisa,4150121,2025-01-11,41.94987,-87.64611,2,Stunning Chicago Loft Near Wrigley Field,Lake View,521,127.00,Entire home/apt
115,Chicago,6874747,Brian,4156913,2025-03-13,41.96705,-87.65772,2,Near Lake Michigan & Wrigley Field,Uptown,261,197.00,Entire home/apt
241,Chicago,21872907,Tamiz,4214683,2025-02-17,41.95107,-87.71005,3,"Mid City, Vintage, Close to O'Hare Pvt Room",Irving Park,177,70.00,Private room
107,Chicago,21924626,Nathan,4243309,2025-02-17,41.94124,-87.64941,1,Sleek Wrigleyville/Boystown Condo with Rooftop Skyline Views,Lake View,403,,Private room
210,Chicago,3965428,Paul,1083987,2024-12-07,41.85395,-87.62468,32,MODERN LOFT Downtown by McCormick w/KING BED WiFi,Near South Side,17,135.00,Entire home/apt
32,Chicago,2658212,James,1171860,2024-12-30,41.92655,-87.64226,2,"Lincoln Park Studio, Great Value!",Lincoln Park,741,83.00,Entire home/apt
0,Chicago,1664593,Matt And Christy,1185749,2025-02-24,41.87033,-87.6826,3,3 Bedroom Vintage Hideaway In Little Italy/uic,Near West Side,377,174.00,Entire home/apt
261,Chicago,2899484,Jason,1195259,2025-01-02,41.90914,-87.67859,5,Wicker Park - Garden At The Heart of It All,West Town,216,161.00,Entire home/apt
365,Chicago,22022871,Jill,4243905,2023-11-07,41.9254,-87.69753,32,Historic house in hip Logan Square,Logan Square,53,250.00,Entire home/apt
334,Chicago,2915265,Felice,4257285,2024-12-01,41.99632,-87.66385,3,The Stained Glass Apt. Edgewater #2,Edgewater,98,60.00,Private room
45,Chicago,1368349,Nancy,4264117,2021-11-22,41.96745,-87.68424,1,Cozy Chicago Stay in Heart of Lincoln Square,Lincoln Square,19,76.00,Entire home/apt
